priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
144,0.0686820159612141,6.87,Low,Low,Routine Processing,0,211,35,IL,100/300,500,1040.75,0,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,1,1,YES,1,1,,42000,7000,7000,28000,BMW,X5,2011,6741,40.35551285130915,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,0
145,0.0686753366111262,6.87,Low,Low,Routine Processing,1,232,42,IN,100/300,500,944.03,0,MALE,College,handlers-cleaners,kayaking,not-in-family,0,-58400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,WV,Riverwood,11,1,YES,2,3,,77000,15400,7700,53900,Toyota,Highlander,2015,660,81.56520449561984,0.2,0.1,0.7,0,0
146,0.0646602607968792,6.47,Low,Low,Routine Processing,0,356,47,IN,250/500,2000,1155.97,0,MALE,High School,prof-specialty,camping,husband,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Columbus,5,1,YES,0,3,,61490,5590,11180,44720,Dodge,RAM,2009,3471,53.193421974618715,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,0
147,0.063980876853284,6.4,Low,Low,Routine Processing,0,325,46,IL,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,21,3,,1,2,YES,76120,13840,6920,55360,Toyota,Camry,1999,572,56.434094733954616,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
148,0.0631053542633014,6.31,Low,Low,Routine Processing,0,259,39,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,,46560,7760,7760,31040,Nissan,Ultima,2012,7067,32.734328861891505,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
149,0.0626969731632611,6.27,Low,Low,Routine Processing,0,303,43,OH,500/1000,1000,671.01,7000000,FEMALE,Associate,machine-op-inspct,camping,other-relative,42900,-61500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,20,1,,2,0,,60210,6690,6690,46830,Nissan,Maxima,2013,5838,89.73040640228909,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
150,0.0625093977912217,6.25,Low,Low,Routine Processing,0,287,45,OH,500/1000,1000,1230.69,0,MALE,Masters,transport-moving,golf,not-in-family,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Springfield,19,1,NO,0,2,NO,53800,5380,5380,43040,Accura,MDX,2006,2746,43.71531417334991,0.1,0.1,0.8,0,0
151,0.0622180015173898,6.22,Low,Low,Routine Processing,0,460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,,47160,0,5240,41920,Suburu,Impreza,2011,4573,39.698306340280816,0.0,0.1111111111111111,0.8888888888888888,0,1
152,0.0608679259031919,6.09,Low,Low,Routine Processing,0,219,40,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,,Trivial Damage,,SC,Riverwood,6,1,,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,3014,5.639213682142196,0.1,0.1,0.8,0,0
153,0.0597521063276845,5.98,Low,Low,Routine Processing,0,97,28,OH,100/300,1000,830.31,0,MALE,JD,farming-fishing,video-games,husband,0,-32600,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Springfield,22,1,,1,0,,45270,10060,10060,25150,Jeep,Wrangler,2006,1797,54.52180510893522,0.2222222222222222,0.2222222222222222,0.5555555555555556,0,0
154,0.0566006036203541,5.66,Low,Low,Routine Processing,0,285,47,IN,100/300,1000,1216.68,0,FEMALE,Masters,sales,basketball,other-relative,55100,0,Vehicle Theft,,Trivial Damage,Police,SC,Columbus,8,1,NO,1,1,NO,2700,300,300,2100,Ford,F150,2013,8499,2.219153762698491,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
155,0.0545104004726182,5.45,Low,Low,Routine Processing,0,245,40,IL,500/1000,1000,1361.45,0,MALE,PhD,handlers-cleaners,camping,unmarried,39300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,Northbend,12,1,YES,0,2,YES,82170,7470,7470,67230,Suburu,Forrestor,1999,1892,60.35476881266297,0.0909090909090909,0.0909090909090909,0.8181818181818182,0,0
156,0.0543594367283068,5.44,Low,Low,Routine Processing,0,251,39,IN,500/1000,2000,1231.98,0,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,10,1,YES,0,0,,44240,5530,5530,33180,Dodge,RAM,1997,5753,35.909673858341854,0.125,0.125,0.75,0,0
157,0.0540235674397176,5.4,Low,Low,Routine Processing,0,30,36,IN,500/1000,500,1488.26,0,FEMALE,College,machine-op-inspct,golf,wife,0,-63500,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Northbrook,17,3,NO,2,2,,57900,5790,5790,46320,Saab,95,2008,5038,38.904492494591,0.1,0.1,0.8,0,1
158,0.0538026624502138,5.38,Low,Low,Routine Processing,0,76,31,OH,500/1000,500,1493.5,5000000,FEMALE,Associate,priv-house-serv,movies,not-in-family,39900,-44000,Vehicle Theft,,Minor Damage,Police,WV,Northbrook,7,1,NO,2,1,NO,8030,1460,730,5840,Mercedes,E400,1995,2880,5.376632072313358,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
159,0.0524505499612017,5.25,Low,Low,Routine Processing,0,92,32,IL,500/1000,500,1592.41,0,MALE,Masters,prof-specialty,yachting,husband,58900,-29100,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Columbus,22,1,,2,3,YES,53400,5340,5340,42720,Jeep,Wrangler,1996,6217,33.53407727909269,0.1,0.1,0.8,0,0
160,0.0523500493786747,5.24,Low,Low,Routine Processing,0,281,43,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,7877,39.72465317652028,0.1538461538461538,0.1538461538461538,0.6923076923076923,0,1
161,0.0521287204429189,5.21,Low,Very Low,Routine Processing,0,93,32,OH,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,16,1,,1,1,,78120,17360,8680,52080,BMW,3 Series,2006,3420,48.07917184672764,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0
162,0.0511052940405925,5.11,Low,Very Low,Routine Processing,0,182,38,OH,500/1000,2000,1441.06,0,FEMALE,Masters,armed-forces,movies,husband,53800,-78300,Single Vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,18,1,,2,3,YES,89650,8150,16300,65200,Dodge,RAM,2005,2099,62.21115012560199,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
163,0.0485042954427431,4.85,Low,Very Low,Routine Processing,0,103,26,IL,100/300,500,1354.83,0,MALE,MD,tech-support,sleeping,husband,66300,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,14,2,NO,2,2,,40600,4060,4060,32480,Volkswagen,Passat,2010,272,29.96685931076224,0.1,0.1,0.8,0,1
164,0.0483127690790406,4.83,Low,Very Low,Routine Processing,0,37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,3183,35.00165997032379,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
165,0.0469847682113754,4.7,Low,Very Low,Routine Processing,0,148,30,OH,100/300,500,1471.24,0,FEMALE,Masters,farming-fishing,camping,own-child,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Riverwood,4,3,NO,2,2,NO,32480,4060,4060,24360,Dodge,Neon,1997,4660,22.076615643946603,0.125,0.125,0.75,1,1
166,0.0459225369487931,4.59,Low,Very Low,Routine Processing,0,96,30,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,hiking,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,22,1,,0,0,YES,53440,0,6680,46760,Ford,Escape,2004,4900,38.19134262865637,0.0,0.125,0.875,0,0
167,0.0442962642352377,4.43,Low,Very Low,Routine Processing,0,35,29,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,,78300,15660,7830,54810,BMW,X5,2009,1279,119.78704525288376,0.2,0.1,0.7,0,1
168,0.0420588333004209,4.21,Low,Very Low,Routine Processing,0,33,32,OH,100/300,500,1402.78,5000000,FEMALE,PhD,other-service,base-jumping,husband,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Northbrook,2,1,YES,0,1,,56070,6230,12460,37380,Toyota,Camry,2012,2523,39.97062974949743,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,0
169,0.0402859652298991,4.03,Low,Very Low,Routine Processing,0,155,35,OH,250/500,1000,919.37,0,FEMALE,Associate,protective-serv,hiking,not-in-family,83600,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbrook,0,1,,0,3,,48360,8060,8060,32240,Nissan,Maxima,1997,7832,52.60123780414849,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,0
170,0.0394984491209748,3.95,Low,Very Low,Routine Processing,0,330,50,IL,500/1000,1000,978.46,0,FEMALE,High School,sales,yachting,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,4421,50.14001594342129,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
171,0.0390758758630589,3.91,Low,Very Low,Routine Processing,0,235,42,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,7,4,,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,8915,64.42169640692883,0.1,0.1,0.8,0,1
172,0.0374837939052213,3.75,Low,Very Low,Routine Processing,0,280,45,IN,250/500,1000,1397.67,0,MALE,JD,machine-op-inspct,camping,wife,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Arlington,0,3,YES,1,2,NO,84720,14120,14120,56480,Ford,Escape,1999,1287,60.61516667024405,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,1
173,0.0362329435003567,3.62,Low,Very Low,Routine Processing,1,29,25,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,2013,82,47.96611547644567,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,1
174,0.0355525363665378,3.56,Low,Very Low,Routine Processing,0,159,37,IL,500/1000,1000,894.4,0,MALE,Associate,tech-support,camping,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,YES,2,0,NO,70290,7810,7810,54670,Dodge,RAM,1999,5976,78.58899821109124,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
175,0.0328491437062509,3.28,Low,Very Low,Routine Processing,0,107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,,93730,14420,21630,57680,Honda,CRV,2001,7368,92.0067142422428,0.1538461538461538,0.2307692307692307,0.6153846153846154,0,1
176,0.0325988026224864,3.26,Low,Very Low,Routine Processing,0,78,31,OH,250/500,1000,1377.23,0,FEMALE,Masters,armed-forces,kayaking,unmarried,72600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NY,Hillsdale,1,3,,2,1,,52290,5810,11620,34860,Nissan,Maxima,1997,8734,37.96751450375028,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,1
177,0.0316795466204035,3.17,Low,Very Low,Routine Processing,0,176,39,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,sleeping,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,14,3,NO,2,1,NO,44280,4920,4920,34440,Chevrolet,Silverado,2008,1538,32.4286321093258,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
178,0.0316019997529125,3.16,Low,Very Low,Routine Processing,0,120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,5095,35.92322909213351,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,1
179,0.0307007659465878,3.07,Low,Very Low,Routine Processing,0,32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,1793,70.42323470107374,0.2,0.1,0.7,0,1
180,0.029026676608273,2.9,Low,Very Low,Routine Processing,0,160,33,IL,500/1000,1000,1422.78,0,FEMALE,High School,exec-managerial,exercise,husband,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,17,3,,2,3,YES,52800,5280,5280,42240,Nissan,Pathfinder,2006,2172,37.11044574705858,0.1,0.1,0.8,0,1
181,0.0275197198252164,2.75,Low,Very Low,Routine Processing,0,187,34,IN,500/1000,500,1232.57,0,FEMALE,PhD,machine-op-inspct,polo,not-in-family,59500,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Arlington,7,3,,0,0,,45100,8200,4100,32800,Nissan,Pathfinder,2011,4349,36.59021394322432,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
182,0.0270331169394101,2.7,Low,Very Low,Routine Processing,0,303,46,IN,100/300,1000,709.14,0,MALE,Masters,machine-op-inspct,kayaking,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,3,3,NO,1,0,NO,54890,9980,4990,39920,Toyota,Corolla,2006,3681,77.40361564712187,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,1
183,0.0265960986498136,2.66,Low,Very Low,Routine Processing,0,194,34,IL,250/500,1000,1193.45,0,MALE,JD,other-service,hiking,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,11,1,,2,1,YES,58800,11760,5880,41160,Nissan,Pathfinder,1997,3897,49.2689262222967,0.2,0.1,0.7,0,0
184,0.0259262167672251,2.59,Low,Very Low,Routine Processing,0,36,37,IL,500/1000,1000,1115.81,0,FEMALE,Masters,machine-op-inspct,reading,husband,0,-59800,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Columbus,20,3,YES,1,3,,48780,5420,10840,32520,Dodge,Neon,2008,463,43.71712029825866,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,1
185,0.0256144940270992,2.56,Low,Very Low,Routine Processing,0,103,27,IN,100/300,1000,1537.33,0,FEMALE,College,handlers-cleaners,board-games,husband,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,11,3,YES,1,1,NO,77700,7770,15540,54390,Jeep,Wrangler,2008,2623,50.54217376880696,0.1,0.2,0.7,0,1
186,0.0246392595400835,2.46,Low,Very Low,Routine Processing,0,121,31,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,16,1,NO,0,1,YES,65250,7250,7250,50750,BMW,3 Series,2002,2884,61.44183506280721,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
187,0.0226067131340242,2.26,Low,Very Low,Routine Processing,0,153,34,IL,250/500,500,991.39,0,MALE,High School,tech-support,paintball,other-relative,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,0,3,,1,0,NO,77770,14140,14140,49490,Nissan,Pathfinder,2000,7670,78.44541502335106,0.1818181818181818,0.1818181818181818,0.6363636363636364,1,1
188,0.0204331569253383,2.04,Low,Very Low,Routine Processing,0,292,45,IL,500/1000,1000,1358.91,0,MALE,Masters,craft-repair,dancing,unmarried,0,0,Vehicle Theft,,Trivial Damage,Police,WV,Northbend,4,1,NO,0,2,,7370,670,1340,5360,Suburu,Impreza,1997,8739,5.423464394257162,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,0
189,0.0186532696777986,1.87,Low,Very Low,Routine Processing,0,194,35,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,Parked Car,,Minor Damage,,WV,Northbend,7,1,YES,1,0,,5940,1080,540,4320,Nissan,Pathfinder,2003,1079,4.194204372140315,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
190,0.0177719771162139,1.78,Low,Very Low,Routine Processing,0,228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,,Minor Damage,,NY,Arlington,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,256,4.1037685222013875,0.2,0.1,0.7,0,0
191,0.0169824190811533,1.7,Low,Very Low,Routine Processing,0,32,38,IL,250/500,2000,566.11,5000000,MALE,Associate,armed-forces,polo,unmarried,0,0,Parked Car,,Trivial Damage,Police,NC,Springfield,22,1,YES,0,0,NO,2640,440,440,1760,Honda,CRV,2015,7594,4.6634046386744625,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,0
192,0.0165564719006344,1.66,Low,Very Low,Routine Processing,0,366,50,IN,500/1000,1000,1561.41,0,FEMALE,High School,handlers-cleaners,basketball,husband,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,5,3,YES,1,3,NO,70290,12780,12780,44730,Mercedes,C300,2012,8946,45.017003861894054,0.1818181818181818,0.1818181818181818,0.6363636363636364,1,1
193,0.0161196690769521,1.61,Low,Very Low,Routine Processing,0,27,33,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,6568,19.196252226280155,0.1,0.1,0.8,0,0
194,0.0160162209499568,1.6,Low,Very Low,Routine Processing,0,430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,4011,61.66046041820567,0.2,0.1,0.7,0,1
195,0.0108082728447158,1.08,Low,Very Low,Routine Processing,0,185,35,IN,500/1000,2000,1421.59,0,MALE,College,other-service,sleeping,own-child,0,0,Vehicle Theft,,Trivial Damage,Police,WV,Arlington,8,1,,2,3,YES,4950,900,450,3600,Ford,F150,2011,5446,3.482016615198475,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
196,0.0102475057287113,1.02,Low,Very Low,Routine Processing,0,446,57,IN,100/300,2000,1373.21,0,MALE,College,adm-clerical,sleeping,unmarried,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,SC,Northbrook,10,3,NO,0,0,NO,62800,6280,12560,43960,Jeep,Wrangler,2012,8102,45.73226236336758,0.1,0.2,0.7,0,1
197,0.0093267532463342,0.93,Low,Very Low,Routine Processing,0,259,42,OH,100/300,2000,1170.53,0,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,17,3,NO,1,2,YES,62590,5690,11380,45520,Nissan,Pathfinder,2006,6929,53.471504361272245,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
198,0.0093158322581221,0.93,Low,Very Low,Routine Processing,0,103,33,IN,100/300,1000,969.88,6000000,MALE,MD,armed-forces,exercise,own-child,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Columbus,21,1,NO,1,0,YES,76920,12820,6410,57690,Chevrolet,Malibu,2002,8034,79.30878046768673,0.1666666666666666,0.0833333333333333,0.75,0,0
199,0.0024713574942411,0.25,Low,Very Low,Routine Processing,0,193,40,IL,100/300,500,1155.38,0,FEMALE,PhD,handlers-cleaners,movies,not-in-family,34200,-32300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,6,1,NO,0,0,YES,63900,6390,6390,51120,Accura,TL,2001,3683,55.30647925357891,0.1,0.1,0.8,0,0
200,0.0016734147019409,0.17,Low,Very Low,Routine Processing,0,212,40,IL,500/1000,1000,1524.45,0,FEMALE,Masters,other-service,golf,husband,73200,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NY,Northbrook,17,3,YES,0,2,YES,82400,8240,8240,65920,Nissan,Pathfinder,2006,4402,54.05228115057889,0.1,0.1,0.8,0,1
